Warning                                            Type                                          Event                                                                      Group            Date       Hours      Minutes    Seconds    
                                                   [Outgoing information ]                       Grid failure (801)                                                         Grid Monitoring     20/04/08          5         24         21
                                                   [Incoming information ]                       Grid failure (801)                                                         Grid Monitoring     01/08/08         18          2          4
                                                   [Incoming warning]                            Grid failure (801)                                                         Grid Monitoring     01/08/08         18          8         37
                                                   [Incoming error]                              Grid failure (801)                                                         Grid Monitoring     01/08/08         18         20         58
                                                   [Outgoing information ]                       Grid failure (801)                                                         Grid Monitoring     01/08/08         22         31         42
                                                   [Incoming error]                              Insulation failure (3501)                                                  DC Side             14/08/08         20         45          2
                                                   [Incoming error]                              Insulation failure (3501)                                                  DC Side             15/08/08         19          0         58
                                                   [Incoming information ]                       Grid undervoltage slow (203)                                               Grid Monitoring     16/09/08         23         59         52
                                                   [Incoming information ]                       Grid failure (801)                                                         Grid Monitoring     17/09/08          0          1          1
                                                   [Incoming warning]                            Grid failure (801)                                                         Grid Monitoring     17/09/08          0          7         37
                                                   [Incoming error]                              Grid failure (801)                                                         Grid Monitoring     17/09/08          0         19         59
                                                   [Outgoing information ]                       Grid failure (801)                                                         Grid Monitoring     17/09/08          1          1         14
                                                   [Incoming information ]                       PLL outside limits (205)                                                   Grid Monitoring     04/10/08          2          1         34
                                                   [Incoming information ]                       PLL outside limits (205)                                                   Grid Monitoring     04/10/08          2          1         35
                                                   [Incoming information ]                       PLL outside limits (205)                                                   Grid Monitoring     04/10/08          2          1         36
                                                   [Incoming information ]                       PLL outside limits (205)                                                   Grid Monitoring     04/10/08          2          1         37
                                                   [Incoming information ]                       Grid undervoltage slow (203)                                               Grid Monitoring     04/10/08          2          1         38
                                                   [Incoming information ]                       Grid undervoltage slow (203)                                               Grid Monitoring     04/10/08          2          1         42
                                                   [Incoming information ]                       Grid overvoltage (spot value) (101)                                        Grid Monitoring     26/10/08         22         12         53
                                                   [Incoming information ]                       Grid undervoltage slow (203)                                               Grid Monitoring     26/10/08         22         12         59
                                                   [Incoming information ]                       Grid failure (801)                                                         Grid Monitoring     26/10/08         22         14          7
                                                   [Incoming warning]                            Grid failure (801)                                                         Grid Monitoring     26/10/08         22         20         43
                                                   [Incoming error]                              Grid failure (801)                                                         Grid Monitoring     26/10/08         22         33          5
                                                   [Outgoing information ]                       Grid failure (801)                                                         Grid Monitoring     26/10/08         23         13         24
                                                   [Incoming information ]                       Grid overvoltage (spot value) (101)                                        Grid Monitoring     31/10/08         23         33          1
                                                   [Incoming information ]                       Grid undervoltage slow (203)                                               Grid Monitoring     31/10/08         23         33          7
                                                   [Incoming information ]                       Grid failure (801)                                                         Grid Monitoring     31/10/08         23         34         16
                                                   [Incoming warning]                            Grid failure (801)                                                         Grid Monitoring     31/10/08         23         40         52
                                                   [Incoming error]                              Grid failure (801)                                                         Grid Monitoring     31/10/08         23         53         15
                                                   [Outgoing information ]                       Grid failure (801)                                                         Grid Monitoring     31/10/08         23         57          1
                                                   [Incoming information ]                       PLL outside limits (205)                                                   Grid Monitoring     18/12/08         21         29          6
                                                   [Incoming information ]                       PLL outside limits (205)                                                   Grid Monitoring     18/12/08         21         29          7
                                                   [Incoming information ]                       PLL outside limits (205)                                                   Grid Monitoring     18/12/08         21         29          8
                                                   [Incoming information ]                       PLL outside limits (205)                                                   Grid Monitoring     18/12/08         21         29          9
                                                   [Incoming information ]                       Grid undervoltage slow (203)                                               Grid Monitoring     18/12/08         21         29         12
                                                   [Incoming information ]                       Grid failure (801)                                                         Grid Monitoring     18/12/08         21         30         20
                                                   [Incoming warning]                            Grid failure (801)                                                         Grid Monitoring     18/12/08         21         36         54
                                                   [Outgoing information ]                       Grid failure (801)                                                         Grid Monitoring     18/12/08         21         40         21
                                                   [Incoming information ]                       Grid undervoltage slow (203)                                               Grid Monitoring     18/12/08         21         42         31
                                                   [Incoming information ]                       PLL outside limits (205)                                                   Grid Monitoring     18/12/08         21         48         44
                                                   [Incoming information ]                       PLL outside limits (205)                                                   Grid Monitoring     18/12/08         21         48         45
                                                   [Incoming information ]                       PLL outside limits (205)                                                   Grid Monitoring     18/12/08         21         48         46
                                                   [Incoming information ]                       PLL outside limits (205)                                                   Grid Monitoring     18/12/08         21         48         47
                                                   [Incoming information ]                       Grid undervoltage slow (203)                                               Grid Monitoring     18/12/08         21         48         48
                                                   [Incoming information ]                       PLL outside limits (205)                                                   Grid Monitoring     18/12/08         22         28         30
                                                   [Incoming information ]                       PLL outside limits (205)                                                   Grid Monitoring     18/12/08         22         28         31
                                                   [Incoming information ]                       PLL outside limits (205)                                                   Grid Monitoring     18/12/08         22         28         32
                                                   [Incoming information ]                       PLL outside limits (205)                                                   Grid Monitoring     18/12/08         22         28         33
                                                   [Incoming information ]                       Grid undervoltage slow (203)                                               Grid Monitoring     18/12/08         22         28         36
                                                   [Incoming information ]                       PLL outside limits (205)                                                   Grid Monitoring     18/12/08         22         36         14
                                                   [Incoming information ]                       Grid undervoltage slow (203)                                               Grid Monitoring     18/12/08         22         36         15
                                                   [Incoming information ]                       PLL outside limits (205)                                                   Grid Monitoring     18/12/08         22         36         16
                                                   [Incoming information ]                       Grid failure (801)                                                         Grid Monitoring     18/12/08         22         37         26
                                                   [Incoming warning]                            Grid failure (801)                                                         Grid Monitoring     18/12/08         22         44          1
                                                   [Outgoing information ]                       Grid failure (801)                                                         Grid Monitoring     18/12/08         22         47         11
                                                   [Incoming information ]                       Grid undervoltage slow (203)                                               Grid Monitoring     18/12/08         22         47         29
                                                   [Incoming information ]                       Grid undervoltage slow (203)                                               Grid Monitoring     18/12/08         22         47         43
                                                   [Incoming warning]                            Grid failure (801)                                                         Grid Monitoring     18/12/08         22         48         46
                                                   [Incoming error]                              Grid failure (801)                                                         Grid Monitoring     18/12/08         22         57         18
                                                   [Outgoing information ]                       Grid failure (801)                                                         Grid Monitoring     19/12/08          1         11         12
                                                   [Incoming information ]                       PLL outside limits (205)                                                   Grid Monitoring     19/12/08          1         34         40
                                                   [Incoming information ]                       PLL outside limits (205)                                                   Grid Monitoring     19/12/08          1         34         40
                                                   [Incoming information ]                       PLL outside limits (205)                                                   Grid Monitoring     19/12/08          1         34         41
                                                   [Incoming information ]                       PLL outside limits (205)                                                   Grid Monitoring     19/12/08          1         34         42
                                                   [Incoming information ]                       Grid undervoltage slow (203)                                               Grid Monitoring     19/12/08          1         34         45
                                                   [Incoming information ]                       Grid failure (801)                                                         Grid Monitoring     19/12/08          1         35         53
                                                   [Incoming warning]                            Grid failure (801)                                                         Grid Monitoring     19/12/08          1         42         26
